brand,model,avg_price_usd,avg_rating,avg_battery_rating,avg_camera_rating,avg_performance_rating,avg_design_rating,avg_display_rating,avg_specification_score,avg_helpful_votes,review_count,verified_purchase_rate,cluster
Apple,iPhone 13,1108.2654329371817,3.150537634408602,2.754951895868704,2.754951895868704,2.765138653084324,2.765138653084324,2.710243350311262,2.750084889643463,3.7430673457838144,1767,0.7951329937747594,1
Apple,iPhone 14,1099.2198825503356,3.1761744966442955,2.738255033557047,2.7818791946308723,2.7237136465324383,2.773489932885906,2.7589485458612977,2.755257270693512,3.690715883668904,1788,0.8154362416107382,1
Apple,iPhone 15 Pro,1103.4098828778583,3.079196876742889,2.6776352481873955,2.7071946458449525,2.661461238148355,2.675404350250976,2.691020635805912,2.682543223647518,3.5705521472392636,1793,0.7852760736196319,0
Apple,iPhone SE,1103.3810412026726,3.096881959910913,2.727728285077951,2.7037861915367483,2.7321826280623607,2.6909799554565703,2.735523385300668,2.71804008908686,3.5757238307349666,1796,0.7962138084632516,1
Google,Pixel 6,807.9210130306852,3.112232030264817,2.712063892391761,2.7099621689785622,2.689785624211854,2.7061790668348045,2.7154266498528794,2.706683480453972,3.691046658259773,2379,0.8003362757461118,1
Google,Pixel 7a,806.821422204214,3.1195299837925448,2.715964343598055,2.7321717990275527,2.7256888168557536,2.7212317666126418,2.7487844408427877,2.7287682333873584,3.620745542949757,2468,0.7982171799027553,1
Google,Pixel 8,798.9696732299958,3.122748219522413,2.731881022203603,2.7155425219941347,2.6912442396313363,2.7436112274821953,2.737746124842899,2.7240050272308336,3.6003351487222455,2387,0.8206954335986594,1
Motorola,Edge 50,508.69762203023765,3.0872570194384448,2.6747300215982723,2.701511879049676,2.704535637149028,2.6885529157667385,2.70755939524838,2.695377969762419,3.631533477321814,2315,0.803023758099352,0
Motorola,Moto G Power,504.6060782645682,3.1225010633772863,2.7150148872820075,2.7060825180774137,2.716290940025521,2.716290940025521,2.7192683964270525,2.714589536367503,3.6465333900467884,2351,0.8179498085920884,1
Motorola,Razr 40,506.1529290187891,3.1039665970772443,2.713152400835073,2.6839248434237994,2.7302713987473903,2.7248434237995824,2.724008350730689,2.715240083507307,3.632985386221294,2395,0.7991649269311065,1
OnePlus,OnePlus 11R,672.7865844636251,3.1122071516646117,2.704480065762433,2.7077681874229347,2.713522400328812,2.703247020139745,2.7168105219893137,2.709165639128648,3.6477599671187835,2433,0.7969584874640362,1
OnePlus,OnePlus 12,670.6125333620319,3.128712871287129,2.727507533362032,2.746448557899268,2.721050365906156,2.718897976754197,2.709427464485579,2.7246663796814463,3.7025398191993113,2323,0.7830391734825657,1
OnePlus,OnePlus Nord 3,674.6644159663866,3.1365546218487395,2.7327731092436975,2.734033613445378,2.7361344537815127,2.676890756302521,2.7407563025210084,2.7241176470588235,3.6584033613445377,2380,0.8029411764705883,1
Realme,Realme 12 Pro,393.8977595473833,3.1405940594059407,2.7244695898161244,2.7142857142857144,2.7632248939179633,2.7340876944837342,2.758415841584158,2.738896746817539,3.717397454031117,3535,0.7983026874115983,1
Realme,Realme Narzo 70,392.70677509035306,3.120378092855157,2.736725048651654,2.729218793438977,2.7450653322212957,2.714484292465944,2.733666944676119,2.731832082290798,3.6127328329163193,3597,0.8020572699471782,1
Samsung,Galaxy A55,904.538428411633,3.088926174496644,2.721476510067114,2.6761744966442955,2.661633109619687,2.6940715883668904,2.651006711409396,2.680872483221476,3.6599552572706937,1788,0.8070469798657718,0
Samsung,Galaxy Note 20,899.7462325321409,3.1442146450531023,2.7406372275013973,2.7294577976523198,2.75684740078256,2.747344885410844,2.7255449972051426,2.739966461710453,3.680827277808832,1789,0.8038010061486864,1
Samsung,Galaxy S24,894.1257126632595,3.0715502555366268,2.6780238500851787,2.663827370812039,2.650198750709824,2.676320272572402,2.670641680863146,2.667802385008518,3.598523566155593,1761,0.7927314026121521,0
Samsung,Galaxy Z Flip,899.3834364060676,3.128354725787631,2.7257876312718787,2.739206534422404,2.750291715285881,2.693115519253209,2.7421236872812136,2.730105017502917,3.6400233372228703,1714,0.7981330221703618,1
Xiaomi,Mi 13 Pro,448.9141063394683,3.0936605316973416,2.7022494887525563,2.6985685071574643,2.667075664621677,2.6695296523517382,2.710838445807771,2.6896523517382414,3.658077709611452,2445,0.7979550102249489,0
Xiaomi,Poco X6,450.26659501289765,3.1190885640584693,2.7115219260533103,2.72871883061049,2.7639724849527085,2.7562338779019777,2.716251074806535,2.735339638865004,3.5494411006018916,2326,0.8026655202063628,1
Xiaomi,Redmi Note 13,449.782016194332,3.113765182186235,2.721052631578947,2.723886639676113,2.717004048582996,2.7093117408906884,2.697975708502024,2.713846153846154,3.625910931174089,2470,0.8101214574898785,1
